disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Endometriosis,Ectopic Endometrial Tissue,TISSUE_PROCESS,2,CELLULAR_PROCESS,"PATHOLOGICAL_STATE — the node describes a tissue entity and its ongoing state (ectopic growth + hormonal responsiveness) rather than a process step; the existing enum is process-centric and fits poorly",,"The node's core claim is that endometrial-like tissue exists ectopically and responds to hormonal cycling, which is more a persistent pathological state at tissue scale than a discrete process."
Endometriosis,Retrograde Menstruation,TISSUE_PROCESS,3,ORGANISM_PROCESS,,"Split into: (1) Retrograde Menstrual Flow — the physical backward flow event through fallopian tubes into pelvic cavity (TISSUE_PROCESS); (2) Insufficient Immune Clearance of Refluxed Cells — the failure of peritoneal immune surveillance that allows implantation (CELLULAR_PROCESS).","The node describes the mechanical flow of menstrual contents through anatomical structures, which is best placed at tissue/organ scale even though the pelvic cavity as a destination gives it a multi-structure character."
Endometriosis,Chronic Inflammation,TISSUE_PROCESS,5,,,,"Elevated cytokines and prostaglandins driving chronic pelvic inflammation and adhesion formation is a prototypical tissue-level inflammatory process."
Endometriosis,Estrogen Dependence,MOLECULAR_ACTIVITY,3,CELLULAR_PROCESS,,"Split into: (1) Aromatase-PGE2 Autocrine Feedback Loop — the molecular aromatase/COX-2/PGE2 positive feedback circuit (MOLECULAR_ACTIVITY); (2) Progesterone Resistance — impaired progesterone receptor signaling causing failure of tissue regression (CELLULAR_PROCESS or MOLECULAR_ACTIVITY).","The primary mechanistic claim is the aromatase-driven autocrine estrogen/PGE2 positive feedback loop in endometriotic stromal cells, which is a molecular-scale enzymatic and signaling activity."
Endometriosis,Immune Dysfunction,CELLULAR_PROCESS,3,TISSUE_PROCESS,,"Split into: (1) NK Cell Cytotoxicity Impairment — ESC/macrophage crosstalk suppressing NK cell killing via IL-10 and TGF-beta (CELLULAR_PROCESS); (2) Peritoneal Macrophage Activation — increased macrophage numbers and activation state in peritoneal cavity (TISSUE_PROCESS); (3) T Cell Dysfunction — reduced T cell cytotoxicity enabling immune evasion (CELLULAR_PROCESS).","The node bundles multiple cell-type-level immune dysfunctions (NK cells, macrophages, T cells) that individually are cellular-scale processes, making CELLULAR_PROCESS the primary kind despite the multi-cell-type scope."
Endometriosis,Hypoxia and Angiogenesis,TISSUE_PROCESS,3,MOLECULAR_ACTIVITY,,"Split into: (1) HIF-1alpha Stabilization and VEGF Upregulation — molecular hypoxia-sensing pathway activation in lesion cells (MOLECULAR_ACTIVITY); (2) Lesion Neovascularization — angiogenic remodeling that supports ectopic lesion survival and growth (TISSUE_PROCESS).","The dominant outcome described is tissue-level neovascularization supporting lesion growth, though a molecular pathway (HIF-1alpha/VEGF axis) is the proximate mechanism, making this a genuine scale-axis tie."
Endometriosis,Adhesion Formation,TISSUE_PROCESS,5,,,,"Chronic inflammation producing fibrous adhesions that distort pelvic anatomy is a canonical tissue-level structural remodeling process."
Endometriosis,Lesion-Peritoneal Neuroangiogenesis,TISSUE_PROCESS,4,CELLULAR_PROCESS,,"Split into: (1) Nerve Fiber Recruitment into Lesions — neurogenesis and altered sensory/autonomic fiber distribution at lesion sites (TISSUE_PROCESS); (2) Vascular Remodeling — angiogenic restructuring of lesion vasculature (TISSUE_PROCESS). Both pieces are TISSUE_PROCESS, validating the bundle is scale-coherent but content-redundant with the Hypoxia and Angiogenesis node.","Structural remodeling of nerve and vascular architecture at the lesion-peritoneum interface is a tissue-level process, with the cell-type annotation (nociceptors) adding cellular detail to a predominantly tissue-scale event."
Endometriosis,Peripheral Nociceptor Sensitization,CELLULAR_PROCESS,4,TISSUE_PROCESS,,"Split into: (1) Prolactin-Receptor Nociceptor Sensitization — prolactin/PRLR signaling pathway lowering nociceptor thresholds (MOLECULAR_ACTIVITY or CELLULAR_PROCESS); (2) Neurotrophin-Mediated Pain Amplification — BDNF and neurotrophin signaling amplifying nociceptive neuron excitability (MOLECULAR_ACTIVITY or CELLULAR_PROCESS). Both pieces remain at cellular scale.","Sensitization of individual pelvic nociceptive neurons by soluble mediators is a cell-intrinsic signaling process, making CELLULAR_PROCESS the best fit despite the tissue-context delivery of mediators."
Endometriosis,Central Sensitization and Nociplastic Pain,ORGANISM_PROCESS,4,TISSUE_PROCESS,,"Split into: (1) CNS Pain Amplification — central nervous system-level augmentation of pain signal processing (ORGANISM_PROCESS); (2) Nociplastic Pain State — the emergent chronic altered pain-sensitivity state that persists after peripheral disease reduction (ORGANISM_PROCESS or PATHOLOGICAL_STATE). Both remain organism-scale.","CNS-level amplification of pain signals constituting a system-wide altered pain processing state is a coordinated whole-organism neurological process, not reducible to a single tissue or cell type."
